### This localisation file has been automatically generated ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#   <https://github.com/moretrim/trait-lineariser>            #;;;;;;;;;;;;;;
## UI tweaks;;;;;;;;;;;;;;
aggressivexrising_star;§h+1§!                 Aggressive, rising star;§h+1§!                 Agressif, étoile montante;§h+1§!                 Aggressiv, aufsteigender stern;;§h+1§!                 Agresivo, nueva promesa;;;;;;;;;
aggressivexpolitician;§h+1§!              §u¿§! Aggressive, politician;§h+1§!              §u¿§! Agressif, politicien;§h+1§!              §u¿§! Aggressiv, politiker;;§h+1§!              §u¿§! Agresivo, político;;;;;;;;;
aggressivexpoet;§u–1§!              §G!!!§! Aggressive, poet;§u–1§!              §G!!!§! Agressif, poète;§u–1§!              §G!!!§! Aggressiv, poet;;§u–1§!              §G!!!§! Agresivo, poeta;;;;;;;;;
aggressivexcartographer;§h+1§!      §G+40%§!   Aggressive, cartographer;§h+1§!      §G+40%§!   Agressif, cartographe;§h+1§!      §G+40%§!   Aggressiv, kartograf;;§h+1§!      §G+40%§!   Agresivo, cartógrafo;;;;;;;;;
aggressivexprofessor;§u–1§! §u–1§!         §G!!!§! Aggressive, professor;§u–1§! §u–1§!         §G!!!§! Agressif, professeur;§u–1§! §u–1§!         §G!!!§! Aggressiv, professor;;§u–1§! §u–1§!         §G!!!§! Agresivo, profesor;;;;;;;;;
aggressivexold_school;§h+2§! §u–2§!         §G!!!§! Aggressive, old school;§h+2§! §u–2§!         §G!!!§! Agressif, vieille école;§h+2§! §u–2§!         §G!!!§! Aggressiv, alte schule;;§h+2§! §u–2§!         §G!!!§! Agresivo, de la vieja escuela;;;;;;;;;
aggressivexeccentric_genius;§G+3§!                 Aggressive, eccentric genius;§G+3§!                 Agressif, génie excentrique;§G+3§!                 Aggressiv, exzentrisches genie;;§G+3§!                 Agresivo, genio excéntrico;;;;;;;;;
aggressivexgifted_administrator;§h+1§!              §h?§! Aggressive, gifted administrator;§h+1§!              §h?§! Agressif, administrateur doué;§h+1§!              §h?§! Aggressiv, begabter administrator;;§h+1§!              §h?§! Agresivo, gran administrador;;;;;;;;;
aggressivexinnovative_tactician;§h+2§!                 Aggressive, innovative tactician;§h+2§!                 Agressif, tacticien novateur;§h+2§!                 Aggressiv, innovativer taktiker;;§h+2§!                 Agresivo, táctico innovador;;;;;;;;;
aggressivexexpert_raider;§G+3§!                 Aggressive, expert raider;§G+3§!                 Agressif, commando expérimenté;§G+3§!                 Aggressiv, überfallexperte;;§G+3§!                 Agresivo, experto en asaltos;;;;;;;;;
aggressivexnatural_born_leader;§h+2§!              §h?§! Aggressive, natural born leader;§h+2§!              §h?§! Agressif, chef naturel;§h+2§!              §h?§! Aggressiv, geborener anführer;;§h+2§!              §h?§! Agresivo, líder nato;;;;;;;;;
aggressivexmegalomaniac;§u–1§!                 Aggressive, megalomaniac;§u–1§!                 Agressif, mégalomane;§u–1§!                 Aggressiv, megalomane;;§u–1§!                 Agresivo, megalómano;;;;;;;;;
aggressivexhated;§h+2§! §h+1§!         §R¡¡¡§! Aggressive, hated;§h+2§! §h+1§!         §R¡¡¡§! Agressif, odieux;§h+2§! §h+1§!         §R¡¡¡§! Aggressiv, gehasst;;§h+2§! §h+1§!         §R¡¡¡§! Agresivo, odiado;;;;;;;;;
aggressivexcursed_luck;§G+3§! §h+2§!         §R¡¡¡§! Aggressive, cursed luck;§G+3§! §h+2§!         §R¡¡¡§! Agressif, malchanceux;§G+3§! §h+2§!         §R¡¡¡§! Aggressiv, vom pech verflucht;;§G+3§! §h+2§!         §R¡¡¡§! Agresivo, mala pata;;;;;;;;;
aggressivexclueless;§u–1§!              §R¡¡¡§! Aggressive, clueless;§u–1§!              §R¡¡¡§! Agressif, ignorant;§u–1§!              §R¡¡¡§! Aggressiv, ahnungslos;;§u–1§!              §R¡¡¡§! Agresivo, negado;;;;;;;;;
aggressivexdiplomat;§h+1§!      §u  –5%§!   Aggressive, diplomat;§h+1§!      §u  –5%§!   Agressif, diplomate;§h+1§!      §u  –5%§!   Aggressiv, diplomat;;§h+1§!      §u  –5%§!   Agresivo, diplomático;;;;;;;;;
aggressivexpowerful_friends;§h+1§!      §u–10%§!   Aggressive, powerful friends;§h+1§!      §u–10%§!   Agressif, amis puissants;§h+1§!      §u–10%§!   Aggressiv, mächtige freunde;;§h+1§!      §u–10%§!   Agresivo, de padrinos poderosos;;;;;;;;;
aggressiveximmoral;§h+1§!              §u¿§! Aggressive, immoral;§h+1§!              §u¿§! Agressif, immoral;§h+1§!              §u¿§! Aggressiv, unmoralisch;;§h+1§!              §u¿§! Agresivo, inmoral;;;;;;;;;
aggressivexwomanizer;§h+1§!              §G!!!§! Aggressive, womanizer;§h+1§!              §G!!!§! Agressif, coureur de jupons;§h+1§!              §G!!!§! Aggressiv, schürzenjäger;;§h+1§!              §G!!!§! Agresivo, mujeriego;;;;;;;;;
aggressivexwarmonger;§h+1§!      §h+10%§!§R¡¡¡§! Aggressive, warmonger;§h+1§!      §h+10%§!§R¡¡¡§! Agressif, belliciste;§h+1§!      §h+10%§!§R¡¡¡§! Aggressiv, kriegstreiber;;§h+1§!      §h+10%§!§R¡¡¡§! Agresivo, belicista;;;;;;;;;
aggressivexcorrupt;§h+1§!              §R¡¡¡§! Aggressive, corrupt;§h+1§!              §R¡¡¡§! Agressif, corrompu;§h+1§!              §R¡¡¡§! Aggressiv, korrupt;;§h+1§!              §R¡¡¡§! Agresivo, corrupto;;;;;;;;;
aggressivexbootlicker;§h+1§! §h+1§!            Aggressive, bootlicker;§h+1§! §h+1§!            Agressif, lèche-bottes;§h+1§! §h+1§!            Aggressiv, speichellecker;;§h+1§! §h+1§!            Agresivo, pelotillero;;;;;;;;;
aggressivexsycophant;§h+1§!              §G!!!§! Aggressive, sycophant;§h+1§!              §G!!!§! Agressif, flagorneur;§h+1§!              §G!!!§! Aggressiv, kriecher;;§h+1§!              §G!!!§! Agresivo, adulador;;;;;;;;;
aggressivextoady;§h+2§!              §h?§! Aggressive, toady;§h+2§!              §h?§! Agressif, flatteur;§h+2§!              §h?§! Aggressiv, schleimer;;§h+2§!              §h?§! Agresivo, pelota;;;;;;;;;
aggressivexyesman;§h+1§!                 Aggressive, yesman;§h+1§!                 Agressif, béni-oui-oui;§h+1§!                 Aggressiv, jasager;;§h+1§!                 Agresivo, pelotillero;;;;;;;;;
aggressivexbrownnoser;§h+2§!                 Aggressive, brownnoser;§h+2§!                 Agressif, lèche-cul;§h+2§!                 Aggressiv, stiefellecker;;§h+2§!                 Agresivo, obsequioso;;;;;;;;;
aggressivexspoiled;§G+3§!                 Aggressive, spoiled;§G+3§!                 Agressif, gâté;§G+3§!                 Aggressiv, verwöhnt;;§G+3§!                 Agresivo, malcriado;;;;;;;;;
aggressivexschool_of_defense;§h+1§! §G+3§!            Aggressive, school of defense;§h+1§! §G+3§!            Agressif, école de défense;§h+1§! §G+3§!            Aggressiv, schule der verteidigung;;§h+1§! §G+3§!            Agresivo, escuela de la defensa;;;;;;;;;
aggressivexschool_of_offense;§h+2§!      §h+10%§!§h?§! Aggressive, school of offense;§h+2§!      §h+10%§!§h?§! Agressif, école d'attaque;§h+2§!      §h+10%§!§h?§! Aggressiv, schule der offensive;;§h+2§!      §h+10%§!§h?§! Agresivo, escuela del ataque;;;;;;;;;
aggressivexschool_of_the_bayonet;§G+3§! §h+1§! §h+10%§!   Aggressive, school of the bayonet;§G+3§! §h+1§! §h+10%§!   Agressif, école de la baïonnette;§G+3§! §h+1§! §h+10%§!   Aggressiv, schule des bajonetts;;§G+3§! §h+1§! §h+10%§!   Agresivo, escuela de la bayoneta;;;;;;;;;
aggressivexschool_of_firepower;§h+2§!              §G!!!§! Aggressive, school of firepower;§h+2§!              §G!!!§! Agressif, école de la puissance de feu;§h+2§!              §G!!!§! Aggressiv, schule der feuerkraft;;§h+2§!              §G!!!§! Agresivo, escuela de la potencia de fuego;;;;;;;;;
aggressivexartillerist;§h+1§! §h+1§!         §h?§! Aggressive, artillerist;§h+1§! §h+1§!         §h?§! Agressif, artilleur;§h+1§! §h+1§!         §h?§! Aggressiv, artillerist;;§h+1§! §h+1§!         §h?§! Agresivo, artillero;;;;;;;;;
aggressivexuncommonly_young;§h+2§! §h+1§!            Aggressive, uncommonly young;§h+2§! §h+1§!            Agressif, singulièrement jeune;§h+2§! §h+1§!            Aggressiv, ungewöhnlich jung;;§h+2§! §h+1§!            Agresivo, extraordinariamente joven;;;;;;;;;
aggressivexsucker;§u–1§!                 Aggressive, sucker;§u–1§!                 Agressif, gogo;§u–1§!                 Aggressiv, trottel;;§u–1§!                 Agresivo, chupóptero;;;;;;;;;
aggressivexsad_sack;§u–1§!                 Aggressive, sad sack;§u–1§!                 Agressif, raté;§u–1§!                 Aggressiv, trauriger sack;;§u–1§!                 Agresivo, negado;;;;;;;;;
aggressivexunfit;§u–1§!              §R¡¡¡§! Aggressive, unfit;§u–1§!              §R¡¡¡§! Agressif, inapte;§u–1§!              §R¡¡¡§! Aggressiv, ungeeignet;;§u–1§!              §R¡¡¡§! Agresivo, inútil;;;;;;;;;
aggressivexunqualified;§h+1§!      §u–10%§!   Aggressive, unqualified;§h+1§!      §u–10%§!   Agressif, non qualifié;§h+1§!      §u–10%§!   Aggressiv, unqualifiziert;;§h+1§!      §u–10%§!   Agresivo, inepto;;;;;;;;;
aggressivexpawn;§h+1§!                 Aggressive, pawn;§h+1§!                 Agressif, pion;§h+1§!                 Aggressiv, pfand;;§h+1§!                 Agresivo, títere;;;;;;;;;
aggressivexelderly;§h+1§!                 Aggressive, elderly;§h+1§!                 Agressif, âgé;§h+1§!                 Aggressiv, älter;;§h+1§!                 Agresivo, anciano;;;;;;;;;
aggressivexincompetent;§h+1§!                 Aggressive, incompetent;§h+1§!                 Agressif, incompétent;§h+1§!                 Aggressiv, inkompetent;;§h+1§!                 Agresivo, incompetente;;;;;;;;;
relentlessxwar_college;§G+3§!                 Relentless, war college;§G+3§!                 Implacable, école militaire;§G+3§!                 Unbarmherzig, militärakademie;;§G+3§!                 Despiadado, academia militar;;;;;;;;;
relentlessxcavalry_school;§G+4§!                 Relentless, cavalry school;§G+4§!                 Implacable, école de cavalerie;§G+4§!                 Unbarmherzig, kavallerieschule;;§G+4§!                 Despiadado, escuela de caballería;;;;;;;;;
relentlessxengineer;§h+2§!      §h  +5%§!   Relentless, engineer;§h+2§!      §h  +5%§!   Implacable, sapeur;§h+2§!      §h  +5%§!   Unbarmherzig, pionier;;§h+2§!      §h  +5%§!   Despiadado, ingenieros;;;;;;;;;
relentlessxarmchair_general;§h+2§!      §h+10%§!   Relentless, armchair general;§h+2§!      §h+10%§!   Implacable, général de façade;§h+2§!      §h+10%§!   Unbarmherzig, sesselgeneral;;§h+2§!      §h+10%§!   Despiadado, general apoltronado;;;;;;;;;
relentlessxbureaucrat_speed;§h+2§!      §h+15%§!   Relentless, bureaucrat speed;§h+2§!      §h+15%§!   Implacable, vitesse de bureaucrate;§h+2§!      §h+15%§!   Unbarmherzig, bürokratische geschwindigkeit;;§h+2§!      §h+15%§!   Despiadado, chupatintas;;;;;;;;;
relentlessxgenerals_aide;§h+2§! §h+1§!            Relentless, general's aide;§h+2§! §h+1§!            Implacable, aide de camp;§h+2§! §h+1§!            Unbarmherzig, generalsadjutant;;§h+2§! §h+1§!            Despiadado, ayudante de campo;;;;;;;;;
relentlessxamateur;§h+2§! §u–1§! §u–25%§!   Relentless, amateur;§h+2§! §u–1§! §u–25%§!   Implacable, amateur;§h+2§! §u–1§! §u–25%§!   Unbarmherzig, amateur;;§h+2§! §u–1§! §u–25%§!   Despiadado, aficionado;;;;;;;;;
relentlessxmadman;§h+2§!              §u¿§! Relentless, madman;§h+2§!              §u¿§! Implacable, fou;§h+2§!              §u¿§! Unbarmherzig, irrer;;§h+2§!              §u¿§! Despiadado, loco;;;;;;;;;
relentlessxaristocrat;§h+2§!              §h?§! Relentless, aristocrat;§h+2§!              §h?§! Implacable, aristocrate;§h+2§!              §h?§! Unbarmherzig, aristokrat;;§h+2§!              §h?§! Despiadado, aristócrata;;;;;;;;;
relentlessxdrillmaster;§h+2§!              §G!!!§! Relentless, drillmaster;§h+2§!              §G!!!§! Implacable, sergent instructeur;§h+2§!              §G!!!§! Unbarmherzig, zuchtmeister;;§h+2§!              §G!!!§! Despiadado, instructor;;;;;;;;;
relentlessxbutcher;§h+2§!                 Relentless, butcher;§h+2§!                 Implacable, boucher;§h+2§!                 Unbarmherzig, schlächter;;§h+2§!                 Despiadado, carnicero;;;;;;;;;
relentlessxexranker;§h+2§!              §u¿§! Relentless, exranker;§h+2§!              §u¿§! Implacable, ancien militaire;§h+2§!              §u¿§! Unbarmherzig, ex-gefreiter;;§h+2§!              §u¿§! Despiadado, ascendido desde la tropa;;;;;;;;;
relentlessxadventurer;§G+3§!                 Relentless, adventurer;§G+3§!                 Implacable, aventurier;§G+3§!                 Unbarmherzig, abenteurer;;§G+3§!                 Despiadado, aventurero;;;;;;;;;
relentlessxdebutante;§h+2§!                 Relentless, debutante;§h+2§!                 Implacable, débutant;§h+2§!                 Unbarmherzig, debütant;;§h+2§!                 Despiadado, debutante;;;;;;;;;
relentlessxcolonial_b;§h+2§! §u–2§! §h+20%§!   Relentless, colonial;§h+2§! §u–2§! §h+20%§!   Implacable, colonial;§h+2§! §u–2§! §h+20%§!   Unbarmherzig, kolonial;;§h+2§! §u–2§! §h+20%§!   Despiadado, colonial;;;;;;;;;
relentlessxdisgraced;§h+2§!                 Relentless, disgraced;§h+2§!                 Implacable, déshonoré;§h+2§!                 Unbarmherzig, in ungnade gefallener;;§h+2§!                 Despiadado, deshonrado;;;;;;;;;
relentlessxpriest;§h+2§!                 Relentless, priest;§h+2§!                 Implacable, prêtre;§h+2§!                 Unbarmherzig, priester;;§h+2§!                 Despiadado, sacerdote;;;;;;;;;
relentlessxrising_star;§h+2§!                 Relentless, rising star;§h+2§!                 Implacable, étoile montante;§h+2§!                 Unbarmherzig, aufsteigender stern;;§h+2§!                 Despiadado, nueva promesa;;;;;;;;;
relentlessxpolitician;§h+2§!              §u¿§! Relentless, politician;§h+2§!              §u¿§! Implacable, politicien;§h+2§!              §u¿§! Unbarmherzig, politiker;;§h+2§!              §u¿§! Despiadado, político;;;;;;;;;
relentlessxpoet;§h+1§!              §G!!!§! Relentless, poet;§h+1§!              §G!!!§! Implacable, poète;§h+1§!              §G!!!§! Unbarmherzig, poet;;§h+1§!              §G!!!§! Despiadado, poeta;;;;;;;;;
relentlessxcartographer;§h+2§!      §G+40%§!   Relentless, cartographer;§h+2§!      §G+40%§!   Implacable, cartographe;§h+2§!      §G+40%§!   Unbarmherzig, kartograf;;§h+2§!      §G+40%§!   Despiadado, cartógrafo;;;;;;;;;
relentlessxprofessor;§h+1§! §u–1§!         §G!!!§! Relentless, professor;§h+1§! §u–1§!         §G!!!§! Implacable, professeur;§h+1§! §u–1§!         §G!!!§! Unbarmherzig, professor;;§h+1§! §u–1§!         §G!!!§! Despiadado, profesor;;;;;;;;;
relentlessxold_school;§G+3§! §u–2§!         §G!!!§! Relentless, old school;§G+3§! §u–2§!         §G!!!§! Implacable, vieille école;§G+3§! §u–2§!         §G!!!§! Unbarmherzig, alte schule;;§G+3§! §u–2§!         §G!!!§! Despiadado, de la vieja escuela;;;;;;;;;
relentlessxeccentric_genius;§G+4§!                 Relentless, eccentric genius;§G+4§!                 Implacable, génie excentrique;§G+4§!                 Unbarmherzig, exzentrisches genie;;§G+4§!                 Despiadado, genio excéntrico;;;;;;;;;
relentlessxgifted_administrator;§h+2§!              §h?§! Relentless, gifted administrator;§h+2§!              §h?§! Implacable, administrateur doué;§h+2§!              §h?§! Unbarmherzig, begabter administrator;;§h+2§!              §h?§! Despiadado, gran administrador;;;;;;;;;
relentlessxinnovative_tactician;§G+3§!                 Relentless, innovative tactician;§G+3§!                 Implacable, tacticien novateur;§G+3§!                 Unbarmherzig, innovativer taktiker;;§G+3§!                 Despiadado, táctico innovador;;;;;;;;;
relentlessxexpert_raider;§G+4§!                 Relentless, expert raider;§G+4§!                 Implacable, commando expérimenté;§G+4§!                 Unbarmherzig, überfallexperte;;§G+4§!                 Despiadado, experto en asaltos;;;;;;;;;
relentlessxnatural_born_leader;§G+3§!              §h?§! Relentless, natural born leader;§G+3§!              §h?§! Implacable, chef naturel;§G+3§!              §h?§! Unbarmherzig, geborener anführer;;§G+3§!              §h?§! Despiadado, líder nato;;;;;;;;;
relentlessxmegalomaniac;§u–2§!                 Relentless, megalomaniac;§u–2§!                 Implacable, mégalomane;§u–2§!                 Unbarmherzig, megalomane;;§u–2§!                 Despiadado, megalómano;;;;;;;;;
relentlessxhated;§G+3§! §h+1§!         §R¡¡¡§! Relentless, hated;§G+3§! §h+1§!         §R¡¡¡§! Implacable, odieux;§G+3§! §h+1§!         §R¡¡¡§! Unbarmherzig, gehasst;;§G+3§! §h+1§!         §R¡¡¡§! Despiadado, odiado;;;;;;;;;
relentlessxcursed_luck;§G+4§! §h+2§!         §R¡¡¡§! Relentless, cursed luck;§G+4§! §h+2§!         §R¡¡¡§! Implacable, malchanceux;§G+4§! §h+2§!         §R¡¡¡§! Unbarmherzig, vom pech verflucht;;§G+4§! §h+2§!         §R¡¡¡§! Despiadado, mala pata;;;;;;;;;
relentlessxclueless;§h+1§!              §R¡¡¡§! Relentless, clueless;§h+1§!              §R¡¡¡§! Implacable, ignorant;§h+1§!              §R¡¡¡§! Unbarmherzig, ahnungslos;;§h+1§!              §R¡¡¡§! Despiadado, negado;;;;;;;;;
relentlessxdiplomat;§h+2§!      §u  –5%§!   Relentless, diplomat;§h+2§!      §u  –5%§!   Implacable, diplomate;§h+2§!      §u  –5%§!   Unbarmherzig, diplomat;;§h+2§!      §u  –5%§!   Despiadado, diplomático;;;;;;;;;
relentlessxpowerful_friends;§h+2§!      §u–10%§!   Relentless, powerful friends;§h+2§!      §u–10%§!   Implacable, amis puissants;§h+2§!      §u–10%§!   Unbarmherzig, mächtige freunde;;§h+2§!      §u–10%§!   Despiadado, de padrinos poderosos;;;;;;;;;
relentlessximmoral;§h+2§!              §u¿§! Relentless, immoral;§h+2§!              §u¿§! Implacable, immoral;§h+2§!              §u¿§! Unbarmherzig, unmoralisch;;§h+2§!              §u¿§! Despiadado, inmoral;;;;;;;;;
relentlessxwomanizer;§h+2§!              §G!!!§! Relentless, womanizer;§h+2§!              §G!!!§! Implacable, coureur de jupons;§h+2§!              §G!!!§! Unbarmherzig, schürzenjäger;;§h+2§!              §G!!!§! Despiadado, mujeriego;;;;;;;;;
relentlessxwarmonger;§h+2§!      §h+10%§!§R¡¡¡§! Relentless, warmonger;§h+2§!      §h+10%§!§R¡¡¡§! Implacable, belliciste;§h+2§!      §h+10%§!§R¡¡¡§! Unbarmherzig, kriegstreiber;;§h+2§!      §h+10%§!§R¡¡¡§! Despiadado, belicista;;;;;;;;;
relentlessxcorrupt;§h+2§!              §R¡¡¡§! Relentless, corrupt;§h+2§!              §R¡¡¡§! Implacable, corrompu;§h+2§!              §R¡¡¡§! Unbarmherzig, korrupt;;§h+2§!              §R¡¡¡§! Despiadado, corrupto;;;;;;;;;
relentlessxbootlicker;§h+2§! §h+1§!            Relentless, bootlicker;§h+2§! §h+1§!            Implacable, lèche-bottes;§h+2§! §h+1§!            Unbarmherzig, speichellecker;;§h+2§! §h+1§!            Despiadado, pelotillero;;;;;;;;;
relentlessxsycophant;§h+2§!              §G!!!§! Relentless, sycophant;§h+2§!              §G!!!§! Implacable, flagorneur;§h+2§!              §G!!!§! Unbarmherzig, kriecher;;§h+2§!              §G!!!§! Despiadado, adulador;;;;;;;;;
relentlessxtoady;§G+3§!              §h?§! Relentless, toady;§G+3§!              §h?§! Implacable, flatteur;§G+3§!              §h?§! Unbarmherzig, schleimer;;§G+3§!              §h?§! Despiadado, pelota;;;;;;;;;
relentlessxyesman;§h+2§!                 Relentless, yesman;§h+2§!                 Implacable, béni-oui-oui;§h+2§!                 Unbarmherzig, jasager;;§h+2§!                 Despiadado, pelotillero;;;;;;;;;
relentlessxbrownnoser;§G+3§!                 Relentless, brownnoser;§G+3§!                 Implacable, lèche-cul;§G+3§!                 Unbarmherzig, stiefellecker;;§G+3§!                 Despiadado, obsequioso;;;;;;;;;
relentlessxspoiled;§G+4§!                 Relentless, spoiled;§G+4§!                 Implacable, gâté;§G+4§!                 Unbarmherzig, verwöhnt;;§G+4§!                 Despiadado, malcriado;;;;;;;;;
relentlessxschool_of_defense;§h+2§! §G+3§!            Relentless, school of defense;§h+2§! §G+3§!            Implacable, école de défense;§h+2§! §G+3§!            Unbarmherzig, schule der verteidigung;;§h+2§! §G+3§!            Despiadado, escuela de la defensa;;;;;;;;;
relentlessxschool_of_offense;§G+3§!      §h+10%§!§h?§! Relentless, school of offense;§G+3§!      §h+10%§!§h?§! Implacable, école d'attaque;§G+3§!      §h+10%§!§h?§! Unbarmherzig, schule der offensive;;§G+3§!      §h+10%§!§h?§! Despiadado, escuela del ataque;;;;;;;;;
relentlessxschool_of_the_bayonet;§G+4§! §h+1§! §h+10%§!   Relentless, school of the bayonet;§G+4§! §h+1§! §h+10%§!   Implacable, école de la baïonnette;§G+4§! §h+1§! §h+10%§!   Unbarmherzig, schule des bajonetts;;§G+4§! §h+1§! §h+10%§!   Despiadado, escuela de la bayoneta;;;;;;;;;
relentlessxschool_of_firepower;§G+3§!              §G!!!§! Relentless, school of firepower;§G+3§!              §G!!!§! Implacable, école de la puissance de feu;§G+3§!              §G!!!§! Unbarmherzig, schule der feuerkraft;;§G+3§!              §G!!!§! Despiadado, escuela de la potencia de fuego;;;;;;;;;
relentlessxartillerist;§h+2§! §h+1§!         §h?§! Relentless, artillerist;§h+2§! §h+1§!         §h?§! Implacable, artilleur;§h+2§! §h+1§!         §h?§! Unbarmherzig, artillerist;;§h+2§! §h+1§!         §h?§! Despiadado, artillero;;;;;;;;;
relentlessxuncommonly_young;§G+3§! §h+1§!            Relentless, uncommonly young;§G+3§! §h+1§!            Implacable, singulièrement jeune;§G+3§! §h+1§!            Unbarmherzig, ungewöhnlich jung;;§G+3§! §h+1§!            Despiadado, extraordinariamente joven;;;;;;;;;
